"mean_k","filing_year","Ctry_code"
29.1662178255835,2007.32775919732,"Germany"
23.349135973053,2007.32775919732,"Switzerland"
45.2133505903424,2007.32775919732,"United States"
51.2483639213469,2007.32775919732,"China"
38.7870406612108,2007.43143812709,"Japan"
29.2436213749505,2007.43143812709,"Germany"
23.434655278762,2007.43143812709,"Switzerland"
45.4165138457567,2007.43143812709,"United States"
51.5518172100827,2007.43143812709,"China"
38.8808792091473,2007.53511705686,"Japan"
29.3210249243175,2007.53511705686,"Germany"
23.5201745844709,2007.53511705686,"Switzerland"
45.6196771011711,2007.53511705686,"United States"
51.8552704988186,2007.53511705686,"China"
38.9747177570838,2007.63879598662,"Japan"
29.3984284736844,2007.63879598662,"Germany"
23.6056938901799,2007.63879598662,"Switzerland"
45.8228403565855,2007.63879598662,"United States"
52.1587237875544,2007.63879598662,"China"
39.0685563050202,2007.74247491639,"Japan"
29.4758320230514,2007.74247491639,"Germany"
23.6912131958889,2007.74247491639,"Switzerland"
46.0260036119999,2007.74247491639,"United States"
52.4621770762903,2007.74247491639,"China"
39.1623948529567,2007.84615384615,"Japan"
29.5532355724184,2007.84615384615,"Germany"
23.7767325015979,2007.84615384615,"Switzerland"
46.2291668674142,2007.84615384615,"United States"
52.7656303650261,2007.84615384615,"China"
39.2562334008932,2007.94983277592,"Japan"
29.6306391217854,2007.94983277592,"Germany"
23.8622518073068,2007.94983277592,"Switzerland"
46.4323301228286,2007.94983277592,"United States"
53.0690836537619,2007.94983277592,"China"
39.3299370983826,2008.05351170569,"Japan"
29.663835490039,2008.05351170569,"Germany"
23.9104456117845,2008.05351170569,"Switzerland"
46.5703261959369,2008.05351170569,"United States"
53.3149750239011,2008.05351170569,"China"
39.3847643735779,2008.15719063545,"Japan"
29.6555876259989,2008.15719063545,"Germany"
23.9236467588577,2008.15719063545,"Switzerland"
46.6472280356331,2008.15719063545,"United States"
53.5069020953559,2008.15719063545,"China"
39.4395916487731,2008.26086956522,"Japan"
29.6473397619588,2008.26086956522,"Germany"
23.9368479059309,2008.26086956522,"Switzerland"
46.7241298753293,2008.26086956522,"United States"
53.6988291668106,2008.26086956522,"China"
39.4944189239683,2008.36454849498,"Japan"
29.6390918979187,2008.36454849498,"Germany"
23.9500490530041,2008.36454849498,"Switzerland"
46.8010317150256,2008.36454849498,"United States"
53.8907562382654,2008.36454849498,"China"
39.5492461991636,2008.46822742475,"Japan"
29.6308440338787,2008.46822742475,"Germany"
23.9632502000773,2008.46822742475,"Switzerland"
46.8779335547218,2008.46822742475,"United States"
54.0826833097201,2008.46822742475,"China"
39.6040734743588,2008.57190635452,"Japan"
29.6225961698386,2008.57190635452,"Germany"
23.9764513471505,2008.57190635452,"Switzerland"
46.9548353944181,2008.57190635452,"United States"
